flu_season_start,flu_season_end,last_end,season_length,time_since_last
1997-12-21,1998-03-29,NA,98,NA
1999-01-03,1999-05-02,1998-03-29,119,280
1999-07-04,1999-08-01,1999-05-02,28,63
1999-11-07,2000-02-20,1999-08-01,105,98
2000-12-24,2001-04-01,2000-02-20,98,308
2002-01-13,2002-06-02,2001-04-01,140,287
2003-01-05,2003-04-27,2002-06-02,112,217
2003-11-16,2004-02-01,2003-04-27,77,203
2004-12-12,2005-04-17,2004-02-01,126,315
2005-12-25,2006-04-30,2005-04-17,126,252
2006-12-17,2007-04-22,2006-04-30,126,231
2007-12-30,2008-05-04,2007-04-22,126,252
2009-01-04,2009-12-20,2008-05-04,350,245
2010-12-05,2011-05-01,2009-12-20,147,350
2012-01-08,2012-06-03,2011-05-01,147,252
2012-07-22,2012-09-09,2012-06-03,49,49
2012-10-28,2013-05-05,2012-09-09,189,49
2013-11-24,2014-06-01,2013-05-05,189,203
2014-11-09,2015-05-10,2014-06-01,182,161
