census_division,dt3,states,YEAR,WEEK,num_test,num_pos,pp2,num_test_p1,no_tests,test_lt_100,lb,ub,ub2,p1,p2,gte5,diff_lag1_pp,diff_lag2_pp,runsum,start_flu_season,end_flu_season
Midwest,1997-09-28,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,40,310,0,0,311,FALSE,FALSE,0,0.011829090768470718,0.011829090768470718,6.0291300558244135e-5,1.9386270275962743e-7,0,NA,NA,NA,NA,NA
Midwest,1997-10-05,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,41,372,0,0,373,FALSE,FALSE,0,0.00986733780971405,0.00986733780971405,4.134502813370862e-4,1.1084457944694e-6,0,0,NA,NA,NA,NA
Midwest,1997-10-12,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,42,391,0,0,392,FALSE,FALSE,0,0.009390109284315606,0.009390109284315606,0.002395591118501775,6.1112018329126915e-6,0,0,0,NA,NA,NA
Midwest,1997-10-19,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,43,396,0,0,397,FALSE,FALSE,0,0.009272098675283003,0.009272098675283003,0.012436931501953696,3.132728338023601e-5,0,0,0,0,0,0
Midwest,1997-10-26,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,44,457,0,0,458,FALSE,FALSE,0,0.008039455610420077,0.008039455610420077,0.06594171433064203,1.43977542206642e-4,0,0,0,0,0,0
Midwest,1997-11-02,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,45,490,0,0,491,FALSE,FALSE,0,0.007500058553297495,0.007500058553297495,0.2808769818531413,5.72050879537966e-4,0,0,0,0,0,0
Midwest,1997-11-09,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,46,550,0,0,551,FALSE,FALSE,0,0.0066846114706996945,0.0066846114706996945,1.0439919434212523,0.0018947222203652492,0,0,0,0,0,0
Midwest,1997-11-16,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,47,586,7,0.011945392491467578,587,FALSE,FALSE,0.00481578601522958,0.024456430580785282,0.024456430580785282,3.009915698140246,0.0051276246987057,0,0,0,0,0,0
Midwest,1997-11-23,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,48,507,4,0.007889546351084813,508,FALSE,FALSE,0.002153698465828733,0.020076320960729088,0.020076320960729088,5.900985706970709,0.011616113596399033,0,0,0,0,0,0
Midwest,1997-11-30,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,49,618,17,0.02750809061488673,619,FALSE,FALSE,0.016104360761443687,0.04367864110672437,0.04367864110672437,14.073869992965422,0.02273646202417677,0,0,0,0,0,0
Midwest,1997-12-07,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,50,799,20,0.025031289111389236,800,FALSE,FALSE,0.015355281953437949,0.03839502346524759,0.03839502346524759,31.749420496626627,0.039686775620783286,0,0,0,0,0,0
Midwest,1997-12-14,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,51,880,54,0.06136363636363636,881,FALSE,FALSE,0.046430833243014114,0.0793109234985846,0.0793109234985846,56.17576910687624,0.06376364257307178,1,1,1,1,0,0
Midwest,1997-12-21,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,52,784,91,0.11607142857142858,785,FALSE,FALSE,0.09448994142066545,0.14058736451472287,0.14058736451472287,76.39259736512388,0.09731541065620876,1,0,1,2,1,0
Midwest,1997-12-28,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1997,53,1098,177,0.16120218579234974,1099,FALSE,FALSE,0.13992736482044385,0.18430974424360846,0.18430974424360846,157.39724936061884,0.14321860724351124,1,0,0,1,0,0
Midwest,1998-01-04,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,1,1421,268,0.18859957776213934,1422,FALSE,FALSE,0.1685684495764561,0.2099267511815025,0.2099267511815025,284.47096509204493,0.20004990512802034,1,0,0,0,0,0
Midwest,1998-01-11,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,2,1577,384,0.2435003170577045,1578,FALSE,FALSE,0.22249362852672044,0.2654661927737766,0.2654661927737766,410.52434984856643,0.26015484781277975,1,0,0,0,0,0
Midwest,1998-01-18,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,3,2308,716,0.31022530329289427,2309,FALSE,FALSE,0.2913871783717381,0.32954629913916567,0.32954629913916567,713.4075337254243,0.30896818264418546,1,0,0,0,0,0
Midwest,1998-01-25,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,4,2535,862,0.34003944773175543,2536,FALSE,FALSE,0.32159487654745167,0.35885422912898246,0.35885422912898246,833.6172578998872,0.3287134297712489,1,0,0,0,0,0
Midwest,1998-02-01,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,5,2179,653,0.2996787517209729,2180,FALSE,FALSE,0.2804940938450626,0.31940358440260386,0.31940358440260386,670.3249555693237,0.30748851172904756,1,0,0,0,0,0
Midwest,1998-02-08,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,6,1885,489,0.25941644562334215,1886,FALSE,FALSE,0.23975096809973942,0.2798331976645343,0.2798331976645343,479.24369850749827,0.2541058846805399,1,0,0,0,0,0
Midwest,1998-02-15,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,7,1488,295,0.198252688172043,1489,FALSE,FALSE,0.1782708913746231,0.21943277617596657,0.21943277617596657,286.2732583112413,0.19225873627349988,1,0,0,0,0,0
Midwest,1998-02-22,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,8,1276,151,0.11833855799373041,1277,FALSE,FALSE,0.1011186318442776,0.13733802820109753,0.13733802820109753,176.63060646474764,0.13831684139760975,1,0,0,0,0,0
Midwest,1998-03-01,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,9,904,94,0.10398230088495575,905,FALSE,FALSE,0.08484777667141598,0.12574042724980672,0.12574042724980672,88.93287389114725,0.0982683689404942,1,0,0,0,0,0
Midwest,1998-03-08,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,10,815,76,0.09325153374233129,816,FALSE,FALSE,0.07417478618950175,0.11532751414644538,0.11532751414644538,58.42845238620603,0.07160349557133092,1,0,0,0,0,0
Midwest,1998-03-15,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,11,740,38,0.051351351351351354,741,FALSE,FALSE,0.03659204192206531,0.06980539805332275,0.06980539805332275,41.13089725698955,0.055507283747624224,1,0,0,0,0,0
Midwest,1998-03-22,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,12,610,21,0.03442622950819672,611,FALSE,FALSE,0.021434257309967016,0.05214431959198962,0.05214431959198962,28.312581598827723,0.046338104089734405,0,-1,-1,-1,0,0
Midwest,1998-03-29,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,13,533,15,0.028142589118198873,534,FALSE,FALSE,0.01583491938957619,0.045992587028701015,0.045992587028701015,22.0066036395924,0.041210868238937076,0,0,-1,-2,0,1
Midwest,1998-04-05,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,14,384,17,0.044270833333333336,385,FALSE,FALSE,0.02599765595050388,0.0699372727873614,0.0699372727873614,14.857981237386436,0.038592159058146586,0,0,0,-1,0,0
Midwest,1998-04-12,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,15,390,25,0.0641025641025641,391,FALSE,FALSE,0.04190983479135189,0.09317619702590052,0.09317619702590052,14.70637184236745,0.03761220420042826,0,0,0,0,0,0
Midwest,1998-04-19,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,16,388,12,0.030927835051546393,389,FALSE,FALSE,0.01608092784486763,0.05340110994211256,0.05340110994211256,14.668276329459852,0.0377076512325446,0,0,0,0,0,0
Midwest,1998-04-26,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,17,332,9,0.02710843373493976,333,FALSE,FALSE,0.012469027336554259,0.050834842252793,0.050834842252793,12.662498923280447,0.038025522292133476,0,0,0,0,0,0
Midwest,1998-05-03,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,18,308,11,0.03571428571428571,309,FALSE,FALSE,0.01796082692598857,0.06300304253433608,0.06300304253433608,10.239795606348087,0.03313849710792261,0,0,0,0,0,0
Midwest,1998-05-10,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,19,255,6,0.023529411764705882,256,FALSE,FALSE,0.008682721057034035,0.050507461054895675,0.050507461054895675,5.037614542106826,0.019678181805104788,0,0,0,0,0,0
Midwest,1998-05-17,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,20,225,1,0.0044444444444444444,226,FALSE,FALSE,1.1251726049946536e-4,0.024512747360600384,0.024512747360600384,1.4166213223424176,0.006268235939568219,0,0,0,0,0,0
Midwest,1998-05-24,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,21,0,0,NA,1,TRUE,TRUE,0,1,0.65,8.431941303130888e-4,8.431941303130888e-4,0,0,0,0,0,0
Midwest,1998-05-31,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,22,0,0,NA,1,TRUE,TRUE,0,1,0.65,3.7709029365106125e-5,3.7709029365106125e-5,0,0,0,0,0,0
Midwest,1998-06-07,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,23,0,0,NA,1,TRUE,TRUE,0,1,0.65,4.6868192004365996e-7,4.6868192004365996e-7,0,0,0,0,0,0
Midwest,1998-06-14,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,24,0,0,NA,1,TRUE,TRUE,0,1,0.65,2.1476958857262415e-9,2.1476958857262415e-9,0,0,0,0,0,0
Midwest,1998-06-21,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,25,0,0,NA,1,TRUE,TRUE,0,1,0.65,5.964413207077848e-12,5.964413207077848e-12,0,0,0,0,0,0
Midwest,1998-06-28,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,26,0,0,NA,1,TRUE,TRUE,0,1,0.65,1.6520142141019677e-14,1.6520142141019677e-14,0,0,0,0,0,0
Midwest,1998-07-05,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,27,0,0,NA,1,TRUE,TRUE,0,1,0.65,2.220446049250313e-16,2.220446049250313e-16,0,0,0,0,0,0
Midwest,1998-07-12,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,28,0,0,NA,1,TRUE,TRUE,0,1,0.65,2.220446049250313e-16,2.220446049250313e-16,0,0,0,0,0,0
Midwest,1998-07-19,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,29,0,0,NA,1,TRUE,TRUE,0,1,0.65,2.220446049250313e-16,2.220446049250313e-16,0,0,0,0,0,0
Midwest,1998-07-26,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,30,0,0,NA,1,TRUE,TRUE,0,1,0.65,2.220446049250313e-16,2.220446049250313e-16,0,0,0,0,0,0
Midwest,1998-08-02,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,31,0,0,NA,1,TRUE,TRUE,0,1,0.65,2.220446049250313e-16,2.220446049250313e-16,0,0,0,0,0,0
Midwest,1998-08-09,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,32,0,0,NA,1,TRUE,TRUE,0,1,0.65,2.220446049250313e-16,2.220446049250313e-16,0,0,0,0,0,0
Midwest,1998-08-16,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,33,0,0,NA,1,TRUE,TRUE,0,1,0.65,2.220446049250313e-16,2.220446049250313e-16,0,0,0,0,0,0
Midwest,1998-08-23,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,34,0,0,NA,1,TRUE,TRUE,0,1,0.65,2.220446049250313e-16,2.220446049250313e-16,0,0,0,0,0,0
Midwest,1998-08-30,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,35,0,0,NA,1,TRUE,TRUE,0,1,0.65,9.387243924119959e-16,9.387243924119959e-16,0,0,0,0,0,0
Midwest,1998-09-06,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,36,0,0,NA,1,TRUE,TRUE,0,1,0.65,1.6294231575136482e-13,1.6294231575136482e-13,0,0,0,0,0,0
Midwest,1998-09-13,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,37,0,0,NA,1,TRUE,TRUE,0,1,0.65,3.5580152717680316e-11,3.5580152717680316e-11,0,0,0,0,0,0
Midwest,1998-09-20,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,38,0,0,NA,1,TRUE,TRUE,0,1,0.65,6.498204301288615e-9,6.498204301288615e-9,0,0,0,0,0,0
Midwest,1998-09-27,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin, North Dakota, South Dakota, Iowa, Kansas, Missouri, Nebraska",1998,39,0,0,NA,1,TRUE,TRUE,0,1,0.65,6.599697533907266e-7,6.599697533907266e-7,0,0,0,0,0,0
