census_division,dt3,states,YEAR,WEEK,num_test,num_pos,pp2,num_test_p1,no_tests,test_lt_100,lb,ub,ub2,p1,p2,gte5,diff_lag1_pp,diff_lag2_pp,runsum,start_flu_season,end_flu_season
Northeast,2015-10-04,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,40,2277,11,0.004830917874396135,2278,FALSE,FALSE,0.002413969056018499,0.008627369880304214,0.008627369880304214,15.211827673697025,0.006680644564645158,0,NA,NA,NA,NA,NA
Northeast,2015-10-11,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,41,2582,23,0.008907823392718823,2583,FALSE,FALSE,0.005654936327053323,0.013336295446116142,0.013336295446116142,16.131702248418232,0.00624775455012325,0,0,NA,NA,NA,NA
Northeast,2015-10-18,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,42,2544,14,0.00550314465408805,2545,FALSE,FALSE,0.003011788389055368,0.00921611990103266,0.00921611990103266,14.976965643758264,0.005887172029779192,0,0,0,NA,NA,NA
Northeast,2015-10-25,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,43,2542,15,0.005900865460267506,2543,FALSE,FALSE,0.0033063187855068613,0.009713932121392932,0.009713932121392932,14.315924116673653,0.005631756143459344,0,0,0,0,0,0
Northeast,2015-11-01,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,44,2637,12,0.004550625711035267,2638,FALSE,FALSE,0.0023535183470447165,0.007935521391463807,0.007935521391463807,14.53190693435894,0.005510772443822124,0,0,0,0,0,0
Northeast,2015-11-08,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,45,2588,13,0.005023183925811438,2589,FALSE,FALSE,0.0026772630727927107,0.008574479595130025,0.008574479595130025,14.380269210812601,0.005556518242199614,0,0,0,0,0,0
Northeast,2015-11-15,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,46,2797,13,0.004647836968180193,2798,FALSE,FALSE,0.0024770280531404253,0.007934828514187475,0.007934828514187475,16.186680566057383,0.005787157871311185,0,0,0,0,0,0
Northeast,2015-11-22,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,47,2613,19,0.007271335629544585,2614,FALSE,FALSE,0.004383330074884145,0.011331897567349647,0.011331897567349647,16.22452434356339,0.006209155891145577,0,0,0,0,0,0
Northeast,2015-11-29,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,48,2929,26,0.008876749743939911,2930,FALSE,FALSE,0.005806547980920524,0.012979618838521834,0.012979618838521834,20.04256433264295,0.006842801069526443,0,0,0,0,0,0
Northeast,2015-12-06,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,49,3073,27,0.00878620240807029,3074,FALSE,FALSE,0.005797919104301079,0.0127578946293474,0.0127578946293474,23.733479398296797,0.007723227920044516,0,0,0,0,0,0
Northeast,2015-12-13,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,50,3244,22,0.006781750924784217,3245,FALSE,FALSE,0.0042548239225506474,0.010249748579023388,0.010249748579023388,28.928348372883406,0.008917493333194639,0,0,0,0,0,0
Northeast,2015-12-20,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,51,3149,28,0.00889171165449349,3150,FALSE,FALSE,0.005916378189730091,0.012825538542545645,0.012825538542545645,33.39419331365908,0.01060469778140968,0,0,0,0,0,0
Northeast,2015-12-27,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2015,52,3406,53,0.015560775102759836,3407,FALSE,FALSE,0.011677244829505398,0.020304992831998825,0.020304992831998825,44.634535235080726,0.013104678577533977,0,0,0,0,0,0
Northeast,2016-01-03,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,1,4207,54,0.012835749940575231,4208,FALSE,FALSE,0.009656921213546481,0.016715050945560805,0.016715050945560805,71.42669708884031,0.016978059683584578,0,0,0,0,0,0
Northeast,2016-01-10,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,2,3759,106,0.02819898909284384,3760,FALSE,FALSE,0.023143463419482927,0.03400463751056737,0.03400463751056737,87.41572311924256,0.023255047384741302,0,0,0,0,0,0
Northeast,2016-01-17,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,3,3630,126,0.03471074380165289,3631,FALSE,FALSE,0.028995658213093776,0.04118996635596772,0.04118996635596772,121.46355791387718,0.033461035237982696,0,0,0,0,0,0
Northeast,2016-01-24,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,4,3872,190,0.0490702479338843,3873,FALSE,FALSE,0.0424797186154776,0.05635144788399449,0.05635144788399449,191.4126760406455,0.049435091952646046,0,0,0,0,0,0
Northeast,2016-01-31,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,5,3957,306,0.07733131159969674,3958,FALSE,FALSE,0.06919666596361823,0.08609639072070452,0.08609639072070452,289.78581153306664,0.0732337153229888,1,1,1,1,0,0
Northeast,2016-02-07,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,6,4528,437,0.09651060070671379,4529,FALSE,FALSE,0.08806153569064118,0.10548404640597941,0.10548404640597941,481.0374346438785,0.10623618256269401,1,0,1,2,1,0
Northeast,2016-02-14,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,7,4668,678,0.14524421593830333,4669,FALSE,FALSE,0.13525361493038662,0.1556807492924046,0.1556807492924046,688.8265348545644,0.1475635250331115,1,0,0,1,0,0
Northeast,2016-02-21,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,8,5792,1090,0.18819060773480664,5793,FALSE,FALSE,0.1781971829387815,0.1984991114129172,0.1984991114129172,1118.241350917779,0.19306653158110826,1,0,0,0,0,0
Northeast,2016-02-28,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,9,6641,1577,0.2374642373136576,6642,FALSE,FALSE,0.22727161463236772,0.2478878739711876,0.2478878739711876,1557.178860103418,0.2344795753807285,1,0,0,0,0,0
Northeast,2016-03-06,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,10,7809,2208,0.28275067230119094,7810,FALSE,FALSE,0.27278100950973816,0.29288271194063775,0.29288271194063775,2034.3106467631899,0.26050847058050836,1,0,0,0,0,0
Northeast,2016-03-13,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,11,7663,1951,0.2546000260994389,7664,FALSE,FALSE,0.2448757984716283,0.26451123304948154,0.26451123304948154,2000.8682495838696,0.2611076927553007,1,0,0,0,0,0
Northeast,2016-03-20,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,12,7340,1672,0.22779291553133516,7341,FALSE,FALSE,0.21823954509321342,0.23756293166741804,0.23756293166741804,1749.844421858516,0.23839842259652805,1,0,0,0,0,0
Northeast,2016-03-27,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",2016,13,6798,1355,0.19932333039129155,6799,FALSE,FALSE,0.18988375163364068,0.20902150631889937,0.20902150631889937,1400.035772524225,0.20594818660256325,1,0,0,0,0,0
