census_division,dt3,states,YEAR,WEEK,num_test,num_pos,pp2,num_test_p1,no_tests,test_lt_100,lb,ub,ub2,p1,p2,gte5,diff_lag1_pp,diff_lag2_pp,runsum,start_flu_season,end_flu_season
Northeast,1997-09-28,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,40,206,0,0,207,FALSE,FALSE,0,0.01774780100747042,0.01774780100747042,0.6059799295108248,0.0029274392729991537,0,NA,NA,NA,NA,NA
Northeast,1997-10-05,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,41,235,0,0,236,FALSE,FALSE,0,0.015574797968315734,0.015574797968315734,0.7311967900560642,0.0030982914832884075,0,0,NA,NA,NA,NA
Northeast,1997-10-12,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,42,217,0,0,218,FALSE,FALSE,0,0.01685576921781151,0.01685576921781151,0.7285987375101224,0.003342196043624415,0,0,0,NA,NA,NA
Northeast,1997-10-19,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,43,275,0,0,276,FALSE,FALSE,0,0.013324538910885142,0.013324538910885142,1.033715881700424,0.003745347397465304,0,0,0,0,0,0
Northeast,1997-10-26,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,44,284,8,0.028169014084507043,285,FALSE,FALSE,0.012238192366703288,0.05474757625250537,0.05474757625250537,1.2665518101623594,0.004444041439166173,0,0,0,0,0,0
Northeast,1997-11-02,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,45,318,1,0.0031446540880503146,319,FALSE,FALSE,7.961257912868316e-5,0.01739546631940625,0.01739546631940625,1.815331120510032,0.005690693167743047,0,0,0,0,0,0
Northeast,1997-11-09,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,46,314,2,0.006369426751592357,315,FALSE,FALSE,7.723000643580255e-4,0.022817931468651076,0.022817931468651076,2.5248145861690428,0.008015284400536643,0,0,0,0,0,0
Northeast,1997-11-16,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,47,332,3,0.009036144578313253,333,FALSE,FALSE,0.001867360943379513,0.02617895009224036,0.02617895009224036,4.15537119036685,0.012478592163263814,0,0,0,0,0,0
Northeast,1997-11-23,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,48,330,13,0.03939393939393939,331,FALSE,FALSE,0.02113954044180862,0.06642280589588112,0.06642280589588112,6.8738720289925705,0.020766984981850665,0,0,0,0,0,0
Northeast,1997-11-30,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,49,340,6,0.01764705882352941,341,FALSE,FALSE,0.006503004276914967,0.03801261821462765,0.03801261821462765,12.105065318539891,0.035498725274310534,0,0,0,0,0,0
Northeast,1997-12-07,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,50,426,16,0.03755868544600939,427,FALSE,FALSE,0.021617719005415943,0.06027755250788147,0.06027755250788147,25.572997842123012,0.05988992468881268,1,1,1,1,0,0
Northeast,1997-12-14,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,51,473,33,0.06976744186046512,474,FALSE,FALSE,0.04850809189296945,0.09658693277067432,0.09658693277067432,45.41978399870186,0.09582232911118536,1,0,1,2,1,0
Northeast,1997-12-21,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,52,450,76,0.1688888888888889,451,FALSE,FALSE,0.1354349226624697,0.20676572722375608,0.20676572722375608,63.01985882434774,0.13973361158391961,1,0,0,1,0,0
Northeast,1997-12-28,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1997,53,682,152,0.22287390029325513,683,FALSE,FALSE,0.19216148880477923,0.25600560077746815,0.25600560077746815,124.30831960610661,0.18200339620220587,1,0,0,0,0,0
Northeast,1998-01-04,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,1,1063,243,0.22859830667920977,1064,FALSE,FALSE,0.20366352899985296,0.25504511423324006,0.25504511423324006,229.0187457967976,0.21524318213984736,1,0,0,0,0,0
Northeast,1998-01-11,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,2,907,191,0.2105843439911797,908,FALSE,FALSE,0.18447340022821193,0.23858967556824084,0.23858967556824084,214.1980530184688,0.23590093944765286,1,0,0,0,0,0
Northeast,1998-01-18,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,3,903,183,0.2026578073089701,904,FALSE,FALSE,0.17689003849811089,0.23038129974052945,0.23038129974052945,221.06896208009266,0.24454531203550073,1,0,0,0,0,0
Northeast,1998-01-25,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,4,996,249,0.25,997,FALSE,FALSE,0.22337773679718775,0.2781086828296291,0.2781086828296291,244.00157339490755,0.2447357807371189,1,0,0,0,0,0
Northeast,1998-02-01,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,5,1029,249,0.24198250728862974,1030,FALSE,FALSE,0.21609704322080153,0.2693527449701951,0.2693527449701951,248.47549752448407,0.24123834711114958,1,0,0,0,0,0
Northeast,1998-02-08,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,6,1002,272,0.2714570858283433,1003,FALSE,FALSE,0.24412748906049464,0.3001364674411511,0.3001364674411511,235.7637685934188,0.23505859281497388,1,0,0,0,0,0
Northeast,1998-02-15,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,7,937,211,0.22518676627534684,938,FALSE,FALSE,0.19880571842880362,0.2533073111619474,0.2533073111619474,208.56490687463136,0.22235064698787993,1,0,0,0,0,0
Northeast,1998-02-22,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,8,781,154,0.19718309859154928,782,FALSE,FALSE,0.16982490789772664,0.22684884857343812,0.22684884857343812,156.5836079834932,0.20023479281776627,1,0,0,0,0,0
Northeast,1998-03-01,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,9,573,86,0.15008726003490402,574,FALSE,FALSE,0.12183712079061607,0.1820004895026257,0.1820004895026257,96.6268589141115,0.16833947546012457,1,0,0,0,0,0
Northeast,1998-03-08,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,10,498,48,0.0963855421686747,499,FALSE,FALSE,0.07192392251001309,0.12575956971904045,0.12575956971904045,64.65239617199184,0.1295639201843524,1,0,0,0,0,0
Northeast,1998-03-15,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,11,364,39,0.10714285714285714,365,FALSE,FALSE,0.0773058961101127,0.1435494874537352,0.1435494874537352,32.72842761178036,0.08966692496378181,1,0,0,0,0,0
Northeast,1998-03-22,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,12,305,24,0.07868852459016394,306,FALSE,FALSE,0.051066198665684355,0.11482081162534019,0.11482081162534019,17.32777774882258,0.05662672466935484,1,0,0,0,0,0
Northeast,1998-03-29,"Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont, New Jersey, New York, Pennsylvania",1998,13,238,11,0.046218487394957986,239,FALSE,FALSE,0.023294764808424538,0.08119135373935804,0.08119135373935804,8.160873148859318,0.03414591275673355,0,-1,-1,-1,0,0
