flu_season_start,flu_season_end,last_end,season_length,time_since_last
1997-12-21,1998-03-29,NA,98,NA
1999-01-10,1999-04-18,1998-03-29,98,287
1999-12-05,2000-03-05,1999-04-18,91,231
2000-11-26,2001-03-18,2000-03-05,112,266
2001-12-30,2002-05-12,2001-03-18,133,287
2002-12-15,2003-03-30,2002-05-12,105,217
2003-09-28,2004-02-01,2003-03-30,126,182
2005-01-02,2005-04-24,2004-02-01,112,336
2005-12-18,2006-06-11,2005-04-24,175,238
2006-11-05,2007-05-13,2006-06-11,189,147
2007-12-16,2008-05-04,2007-05-13,140,217
2008-12-28,2010-01-03,2008-05-04,371,238
2010-01-17,2010-04-11,2010-01-03,84,14
2010-10-24,2011-04-10,2010-04-11,168,196
2012-02-05,2012-07-29,2011-04-10,175,301
2012-10-14,2013-05-05,2012-07-29,203,77
2013-08-25,2014-07-06,2013-05-05,315,112
2014-10-12,2015-04-26,2014-07-06,196,98
