census_division,dt3,states,YEAR,WEEK,num_test,num_pos,pp2,num_test_p1,no_tests,test_lt_100,lb,ub,ub2,p1,p2,gte5,diff_lag1_pp,diff_lag2_pp,runsum,start_flu_season,end_flu_season
South,2015-10-04,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",2015,40,4610,64,0.01388286334056399,4611,FALSE,FALSE,0.010707470328277112,0.01769395140046781,0.01769395140046781,73.45838140723772,0.015934572973370437,0,NA,NA,NA,NA,NA
South,2015-10-11,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",2015,41,5127,82,0.015993758533255315,5128,FALSE,FALSE,0.01273999143134899,0.019814069369374576,0.019814069369374576,84.5035820435442,0.01648207178536068,0,0,NA,NA,NA,NA
South,2015-10-18,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",2015,42,5255,105,0.019980970504281638,5256,FALSE,FALSE,0.01637080923446598,0.024137123596439602,0.024137123596439602,90.09217139618367,0.017144085898417444,0,0,0,NA,NA,NA
South,2015-10-25,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",2015,43,5074,98,0.01931415057154119,5075,FALSE,FALSE,0.015707272863855103,0.023487891705969988,0.023487891705969988,91.50180289363614,0.01803346529239971,0,0,0,0,0,0
South,2015-11-01,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",2015,44,5782,104,0.017986855759252855,5783,FALSE,FALSE,0.014719602453929562,0.02175246924985308,0.02175246924985308,111.5361404779153,0.019290235295384865,0,0,0,0,0,0
South,2015-11-08,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",2015,45,6145,152,0.024735557363710334,6146,FALSE,FALSE,0.020997727676723886,0.028933274730813197,0.028933274730813197,129.6187961633764,0.02109337610469917,0,0,0,0,0,0
South,2015-11-15,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",2015,46,5977,133,0.022251965869165134,5978,FALSE,FALSE,0.018663500679056096,0.02631655989001591,0.02631655989001591,140.26821413915297,0.0234679963425051,0,0,0,0,0,0
South,2015-11-22,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",2015,47,6491,165,0.025419812047450314,6492,FALSE,FALSE,0.021728184613472513,0.029545734544453306,0.029545734544453306,169.8893732381895,0.02617306628226614,0,0,0,0,0,0
South,2015-11-29,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",2015,48,6216,137,0.02203989703989704,6217,FALSE,FALSE,0.01853538683436321,0.026002246524701622,0.026002246524701622,179.1076628880119,0.028813974081082997,0,0,0,0,0,0
South,2015-12-06,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",2015,49,6547,155,0.023674965633114404,6548,FALSE,FALSE,0.020129259871547928,0.027653173412374166,0.027653173412374166,201.8762861891282,0.030834929920441147,0,0,0,0,0,0
