census_division,dt3,states,YEAR,WEEK,num_test,num_pos,pp2,num_test_p1,no_tests,test_lt_100,lb,ub,ub2,p1,p2,gte5,diff_lag1_pp,diff_lag2_pp,runsum,start_flu_season,end_flu_season
South,1997-09-28,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",1997,40,577,0,0,578,FALSE,FALSE,0,0.00637281223827093,0.00637281223827093,0.25051164895922406,4.334111573688998e-4,0,NA,NA,NA,NA,NA
South,1997-10-05,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",1997,41,675,0,0,676,FALSE,FALSE,0,0.005450100616251372,0.005450100616251372,0.4082224318907749,6.03879337116531e-4,0,0,NA,NA,NA,NA
South,1997-10-12,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",1997,42,659,4,0.006069802731411229,660,FALSE,FALSE,0.0016562197924118256,0.0154676408101182,0.0154676408101182,0.5598173776436897,8.482081479449843e-4,0,0,0,NA,NA,NA
South,1997-10-19,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",1997,43,748,0,0,749,FALSE,FALSE,0,0.004919516369761586,0.004919516369761586,0.9068613731496643,0.0012107628479968817,0,0,0,0,0,0
South,1997-10-26,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",1997,44,881,0,0,882,FALSE,FALSE,0,0.004178396453400819,0.004178396453400819,1.5616758036785314,0.0017706074871638678,0,0,0,0,0,0
South,1997-11-02,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",1997,45,1011,2,0.0019782393669634025,1012,FALSE,FALSE,2.396638149677133e-4,0.00712763969068253,0.00712763969068253,2.706292728913216,0.002674202301297644,0,0,0,0,0,0
South,1997-11-09,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",1997,46,1067,3,0.0028116213683223993,1068,FALSE,FALSE,5.801996607353577e-4,0.008194570645424837,0.008194570645424837,4.49100881542895,0.004205064433922238,0,0,0,0,0,0
South,1997-11-16,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",1997,47,1300,8,0.006153846153846154,1301,FALSE,FALSE,0.0026604267310610633,0.012089346332275985,0.012089346332275985,8.969453984140491,0.006894276698032661,0,0,0,0,0,0
South,1997-11-23,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",1997,48,1106,15,0.013562386980108499,1107,FALSE,FALSE,0.007610099309918482,0.022270572823140045,0.022270572823140045,12.833461566332218,0.011593009545015553,0,0,0,0,0,0
South,1997-11-30,"Delaware, District of Columbia, Maryland, Virginia, West Virginia, Tennessee, Kentucky, Mississippi, Alabama, Florida, Georgia, North Carolina, South Carolina, Arkansas, Louisiana, Oklahoma, Texas",1997,49,1279,12,0.009382329945269743,1280,FALSE,FALSE,0.004857116603882523,0.01633163478781885,0.01633163478781885,25.098770483476944,0.01960841444021636,0,0,0,0,0,0
