flu_season_start,flu_season_end,last_end,season_length,time_since_last
1997-12-14,1998-03-15,NA,91,NA
1999-01-03,1999-04-11,1998-03-15,98,294
1999-10-31,2000-02-06,1999-04-11,98,203
2000-12-10,2001-04-08,2000-02-06,119,308
2001-11-18,2002-06-09,2001-04-08,203,224
2003-01-12,2003-05-04,2002-06-09,112,217
2003-11-02,2004-01-18,2003-05-04,77,182
2004-12-19,2005-05-22,2004-01-18,154,336
2005-12-04,2006-06-18,2005-05-22,196,196
2006-10-01,2006-10-15,2006-06-18,14,105
2006-12-31,2007-05-27,2006-10-15,147,77
2007-08-05,2007-09-23,2007-05-27,49,70
2007-12-02,2008-05-11,2007-09-23,161,70
2009-01-04,2010-01-03,2008-05-11,364,238
2010-11-21,2011-04-24,2010-01-03,154,322
2012-01-01,2012-09-02,2011-04-24,245,252
2012-10-28,2013-06-30,2012-09-02,245,56
2013-11-17,2014-09-07,2013-06-30,294,140
2014-10-26,2015-07-05,2014-09-07,252,49
