census_division,dt3,states,YEAR,WEEK,num_test,num_pos,pp2,num_test_p1,no_tests,test_lt_100,lb,ub,ub2,p1,p2,gte5,diff_lag1_pp,diff_lag2_pp,runsum,start_flu_season,end_flu_season
West,2015-10-04,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,40,2246,32,0.014247551202137132,2247,FALSE,FALSE,0.009765183529318244,0.02005421656983486,0.02005421656983486,37.32307143810025,0.016617574104229853,0,NA,NA,NA,NA,NA
West,2015-10-11,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,41,2242,34,0.015165031222123104,2243,FALSE,FALSE,0.010524487021616742,0.02112765171518549,0.02112765171518549,23.929274721621827,0.010673182302239887,0,0,NA,NA,NA,NA
West,2015-10-18,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,42,2283,11,0.004818221638195357,2284,FALSE,FALSE,0.002407618570836114,0.008604739291429686,0.008604739291429686,16.323383815573592,0.0071499710098876885,0,0,0,NA,NA,NA
West,2015-10-25,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,43,2436,9,0.003694581280788177,2437,FALSE,FALSE,0.001690746858620868,0.007001830674013165,0.007001830674013165,12.69287546015382,0.005210540008273325,0,0,0,0,0,0
West,2015-11-01,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,44,2726,20,0.007336757153338224,2727,FALSE,FALSE,0.004487073171246738,0.011308387882650206,0.011308387882650206,11.74462598865254,0.004308373436776427,0,0,0,0,0,0
West,2015-11-08,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,45,2830,16,0.005653710247349823,2831,FALSE,FALSE,0.0032349338672471688,0.00916507514123266,0.00916507514123266,11.91089289884958,0.004208796077332007,0,0,0,0,0,0
West,2015-11-15,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,46,2932,7,0.0023874488403819918,2933,FALSE,FALSE,9.604002267416982e-4,0.004912832388206654,0.004912832388206654,14.23621077907886,0.00485546070227792,0,0,0,0,0,0
West,2015-11-22,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,47,2865,11,0.0038394415357766143,2866,FALSE,FALSE,0.0019181458554732962,0.006859413668636516,0.006859413668636516,18.157963741647034,0.006337858199527761,0,0,0,0,0,0
West,2015-11-29,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,48,3285,38,0.01156773211567732,3286,FALSE,FALSE,0.008198662174897836,0.015843355296543904,0.015843355296543904,29.40273264586541,0.008950603545164509,0,0,0,0,0,0
West,2015-12-06,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,49,3207,34,0.010601808543810414,3208,FALSE,FALSE,0.007352923212894963,0.01478372085693258,0.01478372085693258,41.938898975861036,0.013077299337655453,0,0,0,0,0,0
West,2015-12-13,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,50,3156,63,0.019961977186311788,3157,FALSE,FALSE,0.015372575124890667,0.025468596395867182,0.025468596395867182,60.03316008016338,0.01902191384035595,0,0,0,0,0,0
West,2015-12-20,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,51,3191,87,0.027264180507677843,3192,FALSE,FALSE,0.021893815411717324,0.03352273366306435,0.03352273366306435,86.95320169062995,0.02724951478866498,0,0,0,0,0,0
West,2015-12-27,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2015,52,3748,129,0.03441835645677695,3749,FALSE,FALSE,0.028814203918988954,0.04076280878832006,0.04076280878832006,143.6102234467319,0.03831649504982175,0,0,0,0,0,0
West,2016-01-03,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,1,4161,251,0.06032203797164143,4162,FALSE,FALSE,0.05327864671810611,0.06799022924496989,0.06799022924496989,219.32443426729756,0.05270954921107848,1,1,1,1,0,0
West,2016-01-10,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,2,4072,297,0.07293713163064833,4073,FALSE,FALSE,0.06513614412087917,0.0813572751472843,0.0813572751472843,287.89326388435404,0.07070070331148184,1,0,1,2,1,0
West,2016-01-17,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,3,4558,433,0.0949978060552874,4559,FALSE,FALSE,0.08663737164235207,0.10388115647582596,0.10388115647582596,420.07432405916836,0.09216198421657928,1,0,0,1,0,0
West,2016-01-24,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,4,5106,546,0.10693301997649823,5107,FALSE,FALSE,0.0985852699918956,0.11573304575818999,0.11573304575818999,594.1914900288934,0.11637122797275626,1,0,0,0,0,0
West,2016-01-31,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,5,5740,743,0.1294425087108014,5741,FALSE,FALSE,0.12086116321129396,0.1384024020188177,0.1384024020188177,814.309658529674,0.14186579416893275,1,0,0,0,0,0
West,2016-02-07,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,6,6559,1197,0.1824973319103522,6560,FALSE,FALSE,0.17321617501581718,0.19206165628596272,0.19206165628596272,1091.586696493465,0.16642578083449688,1,0,0,0,0,0
West,2016-02-14,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,7,7326,1392,0.19000819000819,7327,FALSE,FALSE,0.18108122142871894,0.19918250838826546,0.19918250838826546,1372.6379966736947,0.18736527391123323,1,0,0,0,0,0
West,2016-02-21,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,8,7613,1457,0.19138316038355443,7614,FALSE,FALSE,0.18260014205144964,0.2004030987795683,0.2004030987795683,1540.9857185607323,0.20241504250108133,1,0,0,0,0,0
West,2016-02-28,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,9,7983,1726,0.21620944507077539,7984,FALSE,FALSE,0.20722136649090464,0.22540515482460843,0.22540515482460843,1676.2751450164544,0.2099806019061073,1,0,0,0,0,0
West,2016-03-06,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,10,7405,1602,0.2163403106009453,7406,FALSE,FALSE,0.20700769345436038,0.22589673635617802,0.22589673635617802,1549.9615302026216,0.20931283324815958,1,0,0,0,0,0
West,2016-03-13,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,11,7365,1378,0.18710115410726408,7366,FALSE,FALSE,0.17825170017435513,0.1961989636442517,0.1961989636442517,1477.5998451503276,0.20062455467078447,1,0,0,0,0,0
West,2016-03-20,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,12,6489,1217,0.18754815842194483,6490,FALSE,FALSE,0.17811551674611664,0.19726245290811562,0.19726245290811562,1200.0698010360773,0.1849390970929384,1,0,0,0,0,0
West,2016-03-27,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,13,5767,964,0.16715796774752906,5768,FALSE,FALSE,0.1576116427961446,0.1770422699191263,0.1770422699191263,945.185763197311,0.16389557190867193,1,0,0,0,0,0
West,2016-04-03,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,14,4779,711,0.1487758945386064,4780,FALSE,FALSE,0.13879865437485248,0.15918424959494837,0.15918424959494837,667.0515357344683,0.13957973126898268,1,0,0,0,0,0
West,2016-04-10,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,15,4276,441,0.10313376987839101,4277,FALSE,FALSE,0.09417444509979539,0.11263924603045794,0.11263924603045794,488.26394277682186,0.11418707735660007,1,0,0,0,0,0
West,2016-04-17,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,16,3645,334,0.0916323731138546,3646,FALSE,FALSE,0.08245945216457248,0.1014660601890166,0.1014660601890166,327.37587744647465,0.08981505554087096,1,0,0,0,0,0
West,2016-04-24,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,17,3359,220,0.06549568323905924,3360,FALSE,FALSE,0.057361541127771934,0.07439578150064663,0.07439578150064663,229.92429991716384,0.06845022325607736,1,0,0,0,0,0
West,2016-05-01,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,18,2895,164,0.056649395509499136,2896,FALSE,FALSE,0.04850748893994964,0.06570117520264751,0.06570117520264751,147.7905155896444,0.051050264452381484,1,0,0,0,0,0
West,2016-05-08,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,19,2542,88,0.03461841070023604,2543,FALSE,FALSE,0.027855668617895214,0.04247856097651803,0.04247856097651803,95.65294886657475,0.03762901214263365,0,-1,-1,-1,0,0
West,2016-05-15,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,20,2341,66,0.028193079880392994,2342,FALSE,FALSE,0.0218701292123719,0.03573026574197924,0.03573026574197924,64.81156831421725,0.027685420040246586,0,0,-1,-2,0,1
West,2016-05-22,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,21,2146,49,0.022833178005591797,2147,FALSE,FALSE,0.01693871555309679,0.030075344139878446,0.030075344139878446,44.05736288973718,0.020529992026904555,0,0,0,-1,0,0
West,2016-05-29,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,22,1941,21,0.010819165378670788,1942,FALSE,FALSE,0.006709360330171512,0.016490921383387702,0.016490921383387702,30.063778161760844,0.015488808944750564,0,0,0,0,0,0
West,2016-06-05,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,23,1674,30,0.017921146953405017,1675,FALSE,FALSE,0.012123160738517913,0.025485367711878704,0.025485367711878704,20.08946339987821,0.012000874193475633,0,0,0,0,0,0
West,2016-06-12,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,24,1657,13,0.007845503922751962,1658,FALSE,FALSE,0.004183821185011644,0.01337868454254354,0.01337868454254354,15.97239014402787,0.009639342271591954,0,0,0,0,0,0
West,2016-06-19,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,25,1502,10,0.006657789613848202,1503,FALSE,FALSE,0.0031971495582963504,0.012209725351522982,0.012209725351522982,12.148191461528544,0.008088010293960415,0,0,0,0,0,0
West,2016-06-26,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,26,1452,11,0.007575757575757576,1453,FALSE,FALSE,0.003787680364103185,0.013514607220842634,0.013514607220842634,10.272207241791815,0.007074522893796016,0,0,0,0,0,0
West,2016-07-03,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",2016,27,1206,5,0.0041459369817578775,1207,FALSE,FALSE,0.0013475031061805024,0.009648509590729493,0.009648509590729493,7.737414606437099,0.006415766672004228,0,0,0,0,0,0
