census_division,dt3,states,YEAR,WEEK,num_test,num_pos,pp2,num_test_p1,no_tests,test_lt_100,lb,ub,ub2,p1,p2,gte5,diff_lag1_pp,diff_lag2_pp,runsum,start_flu_season,end_flu_season
West,1997-09-28,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,40,198,0,0,199,FALSE,FALSE,0,0.018458225536721717,0.018458225536721717,8.866939902861397,0.04455748694905225,0,NA,NA,NA,NA,NA
West,1997-10-05,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,41,231,11,0.047619047619047616,232,FALSE,FALSE,0.02400775438249665,0.08360473083226716,0.08360473083226716,6.899187560470151,0.029737877415819614,0,0,NA,NA,NA,NA
West,1997-10-12,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,42,285,13,0.0456140350877193,286,FALSE,FALSE,0.024507883645063844,0.07673839106225366,0.07673839106225366,5.86582337541679,0.02050987194201675,0,0,0,NA,NA,NA
West,1997-10-19,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,43,250,7,0.028,251,FALSE,FALSE,0.01133001379565853,0.05683724527305356,0.05683724527305356,3.7915523719815285,0.015105786342555891,0,0,0,0,0,0
West,1997-10-26,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,44,275,2,0.007272727272727273,276,FALSE,FALSE,8.819777242173357e-4,0.026023206660711118,0.026023206660711118,3.3886281893941903,0.012277638367370254,0,0,0,0,0,0
West,1997-11-02,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,45,287,3,0.010452961672473868,288,FALSE,FALSE,0.0021608613901382026,0.030242399853674273,0.030242399853674273,3.2774316152574205,0.011379970886310488,0,0,0,0,0,0
West,1997-11-09,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,46,273,3,0.01098901098901099,274,FALSE,FALSE,0.002271956886721197,0.03177689294124342,0.03177689294124342,3.4058268324837604,0.012430024936072119,0,0,0,0,0,0
West,1997-11-16,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,47,315,5,0.015873015873015872,316,FALSE,FALSE,0.005173495881641787,0.03665160313852234,0.03665160313852234,5.118553257652202,0.01619795334700064,0,0,0,0,0,0
West,1997-11-23,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,48,299,5,0.016722408026755852,300,FALSE,FALSE,0.005451449506327371,0.03859094624971893,0.03859094624971893,7.235021439123043,0.024116738130410143,0,0,0,0,0,0
West,1997-11-30,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,49,370,5,0.013513513513513514,371,FALSE,FALSE,0.004401971985413065,0.03125269266861863,0.03125269266861863,14.440403953613341,0.03892292170785267,0,0,0,0,0,0
West,1997-12-07,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,50,435,26,0.059770114942528735,436,FALSE,FALSE,0.03941162243202886,0.08635324185047843,0.08635324185047843,28.168608205663965,0.06460689955427515,1,1,1,1,0,0
West,1997-12-14,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,51,505,40,0.07920792079207921,506,FALSE,FALSE,0.05718799510966407,0.10629840252212563,0.10629840252212563,52.947766833446835,0.10463985540206884,1,0,1,2,1,0
West,1997-12-21,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,52,595,120,0.20168067226890757,596,FALSE,FALSE,0.17014635513945145,0.23620880828010504,0.23620880828010504,93.52857423377215,0.15692713797612776,1,0,0,1,0,0
West,1997-12-28,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1997,53,845,220,0.2603550295857988,846,FALSE,FALSE,0.23105393691921455,0.2913379839400496,0.2913379839400496,178.42068023668597,0.21089914921594086,1,0,0,0,0,0
West,1998-01-04,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,1,1039,266,0.25601539942252166,1040,FALSE,FALSE,0.22971889512884897,0.2837016649900709,0.2837016649900709,265.28337998256075,0.25508017306015457,1,0,0,0,0,0
West,1998-01-11,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,2,1100,241,0.2190909090909091,1101,FALSE,FALSE,0.19497043274984835,0.24472373980418194,0.24472373980418194,308.25437047407615,0.27997672159316633,1,0,0,0,0,0
West,1998-01-18,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,3,1037,273,0.26325940212150434,1038,FALSE,FALSE,0.23667591964175144,0.2911937301273133,0.2911937301273133,291.8946182920086,0.2812086881425902,1,0,0,0,0,0
West,1998-01-25,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,4,1120,304,0.2714285714285714,1121,FALSE,FALSE,0.24556693095383295,0.29849661849216325,0.29849661849216325,292.1601583807815,0.2606245837473519,1,0,0,0,0,0
West,1998-02-01,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,5,1021,260,0.2546523016650343,1022,FALSE,FALSE,0.2281782891013941,0.28254878782558124,0.28254878782558124,229.68385397910978,0.22473958314981388,1,0,0,0,0,0
West,1998-02-08,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,6,1005,185,0.18407960199004975,1006,FALSE,FALSE,0.16057507283105799,0.20945062544308068,0.20945062544308068,182.55285590661154,0.18146407147774507,1,0,0,0,0,0
West,1998-02-15,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,7,837,143,0.17084826762246116,838,FALSE,FALSE,0.14594770038882446,0.19809096629511347,0.19809096629511347,115.41653599561461,0.1377285632405902,1,0,0,0,0,0
West,1998-02-22,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,8,666,35,0.052552552552552555,667,FALSE,FALSE,0.03687419828360179,0.07233304246462768,0.07233304246462768,65.78183264169614,0.09862343724392225,1,0,0,0,0,0
West,1998-03-01,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,9,587,37,0.06303236797274275,588,FALSE,FALSE,0.044765247098686255,0.08583815179151322,0.08583815179151322,39.32210826423939,0.06687433378272005,1,0,0,0,0,0
West,1998-03-08,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,10,442,19,0.042986425339366516,443,FALSE,FALSE,0.02607588994444206,0.06631657816642511,0.06631657816642511,19.092649946389134,0.043098532610359216,0,-1,-1,-1,0,0
West,1998-03-15,"Colorado, Montana, Utah, Wyoming, New Mexico, Arizona, California, Hawaii, Nevada, Alaska, Idaho, Oregon, Washington",1998,11,338,10,0.029585798816568046,339,FALSE,FALSE,0.01427684774236636,0.05373498078700989,0.05373498078700989,8.99018018909713,0.026519705572557905,0,0,-1,-2,0,1
