dt3,month,year,proportion_pos,flu_risk
1997-09-28,9,1997,0.0075084878553142885,1: low
1997-10-05,10,1997,0.005299288221950116,1: low
1997-10-12,10,1997,0.004599379872550838,1: low
1997-10-19,10,1997,0.0034336919057582614,1: low
1997-10-26,10,1997,0.003304996063948303,1: low
1997-11-02,11,1997,0.003829351870395171,1: low
1997-11-09,11,1997,0.00519277272531839,1: low
1997-11-16,11,1997,0.008377333121915565,1: low
1997-11-23,11,1997,0.014623036839456163,1: low
1997-11-30,11,1997,0.025169708827497354,1: low
1997-12-07,12,1997,0.04277616258437164,1: low
1997-12-14,12,1997,0.06929171836553732,1: low
1997-12-21,12,1997,0.10616741356358032,1: low
1997-12-28,12,1997,0.15123126711678125,2: med
1998-01-04,1,1998,0.19889513920863097,2: med
1998-01-11,1,1998,0.23688333462155717,3: high
1998-01-18,1,1998,0.26833190468467594,3: high
1998-01-25,1,1998,0.2780479907114245,3: high
1998-02-01,2,1998,0.26152291938598893,3: high
1998-02-08,2,1998,0.22810680031943636,3: high
1998-02-15,2,1998,0.1888853017680461,2: med
1998-02-22,2,1998,0.14924371911000656,2: med
1998-03-01,3,1998,0.11190105221029369,2: med
1998-03-08,3,1998,0.0819159434912886,1: low
1998-03-15,3,1998,0.057102377489585174,1: low
1998-03-22,3,1998,0.03897448036950675,1: low
1998-03-29,3,1998,0.028533858057509735,1: low
1998-04-05,4,1998,0.020393458012027594,1: low
1998-04-12,4,1998,0.0177412788654101,1: low
1998-04-19,4,1998,0.01630991160950935,1: low
1998-04-26,4,1998,0.015841127519369783,1: low
1998-05-03,5,1998,0.014549007413820108,1: low
1998-05-10,5,1998,0.010831470881652516,1: low
1998-05-17,5,1998,0.007125057439078384,1: low
1998-05-24,5,1998,0.005786163992367492,1: low
1998-05-31,5,1998,0.0061040468036876495,1: low
1998-06-07,6,1998,0.007245794780103516,1: low
1998-06-14,6,1998,0.008216052558457948,1: low
1998-06-21,6,1998,0.007495203651461542,1: low
1998-06-28,6,1998,0.004643574878101171,1: low
1998-07-05,7,1998,0.0016502558244759103,1: low
1998-07-12,7,1998,2.9152321653896397e-4,1: low
1998-07-19,7,1998,2.6141256807391e-5,1: low
1998-07-26,7,1998,1.9918536033990134e-6,1: low
1998-08-02,8,1998,2.1017584843527768e-7,1: low
1998-08-09,8,1998,3.834590800205043e-8,1: low
1998-08-16,8,1998,1.7387557072128152e-8,1: low
1998-08-23,8,1998,2.913555850452337e-8,1: low
1998-08-30,8,1998,1.1181100999778832e-7,1: low
1998-09-06,9,1998,5.818650659809363e-7,1: low
1998-09-13,9,1998,3.5093134299566643e-6,1: low
1998-09-20,9,1998,2.3757655401653366e-5,1: low
1998-09-27,9,1998,1.7218258159278733e-4,1: low
1998-10-04,10,1998,8.154198361053123e-4,1: low
1998-10-11,10,1998,0.0025987515775778244,1: low
1998-10-18,10,1998,0.004722240903396382,1: low
1998-10-25,10,1998,0.005254427970681001,1: low
1998-11-01,11,1998,0.005489670399574474,1: low
1998-11-08,11,1998,0.005385262107992136,1: low
1998-11-15,11,1998,0.005522370454232902,1: low
1998-11-22,11,1998,0.006578584663939055,1: low
1998-11-29,11,1998,0.009474829236077672,1: low
1998-12-06,12,1998,0.014294475334895288,1: low
1998-12-13,12,1998,0.024013104794497826,1: low
1998-12-20,12,1998,0.0408076036238139,1: low
1998-12-27,12,1998,0.06556962937518108,1: low
1999-01-03,1,1999,0.10237330569768585,1: low
1999-01-10,1,1999,0.14527161502090907,2: med
1999-01-17,1,1999,0.18599103776835574,2: med
1999-01-24,1,1999,0.22736751336495742,3: high
1999-01-31,1,1999,0.25872281575327044,3: high
1999-02-07,2,1999,0.2770016094193768,3: high
1999-02-14,2,1999,0.2753156792388609,3: high
1999-02-21,2,1999,0.2598503778801374,3: high
1999-02-28,2,1999,0.23222779945803657,3: high
1999-03-07,3,1999,0.19299115644660575,2: med
1999-03-14,3,1999,0.15915019374919198,2: med
1999-03-21,3,1999,0.12590140600062236,2: med
